OBJECTID,Id,gridcode,ShapeLongi,ShapeLatit,Shape_Leng,Shape_Area,Longitude,Latitude
17162,778338,57941092,-155.6796808,56.41090425,14816,13719616,-155.6796808,56.41090425
17163,778339,3147907,-155.6195948,56.41172908,14816,13719616,-155.6195948,56.41172908
17164,778340,69286064,-155.5595063,56.41252387,14816,13719616,-155.5595063,56.41252387
17165,778341,29513740,-155.4994151,56.41328862,14816,13719616,-155.4994151,56.41328862
17166,778342,40159088,-155.4393216,56.41402333,14816,13719616,-155.4393216,56.41402333
17167,778343,65292928,-155.3792256,56.414728,14816,13719616,-155.3792256,56.414728
17168,778344,73131968,-155.3191274,56.41540262,14816,13719616,-155.3191274,56.41540262
17169,778345,65280324,-155.2590271,56.41604719,14816,13719616,-155.2590271,56.41604719
17170,778346,53089248,-155.1989246,56.41666171,14816,13719616,-155.1989246,56.41666171
17171,778347,67166856,-155.1388203,56.41724619,14816,13719616,-155.1388203,56.41724619
17172,778348,87401208,-155.078714,56.41780061,14816,13719616,-155.078714,56.4178006
17174,778350,45865984,-154.9584963,56.41881928,14816,13719616,-154.9584963,56.41881928
17179,778355,14696248,-154.6576984,56.42072182,14541.23978,13610079.83,-154.6579263,56.42083999
17180,778356,8788863,-154.5978086,56.42115395,14816,13719616,-154.5978086,56.42115395
17181,778357,63277084,-154.53769,56.42143785,14816,13719616,-154.53769,56.42143785
17182,778358,87117232,-154.4775705,56.42169169,14816,13719616,-154.4775705,56.42169169
17183,778359,44640624,-154.4174502,56.42191547,14816,13719616,-154.4174502,56.42191547
17184,778360,66340256,-154.3573293,56.42210918,14816,13719616,-154.3573293,56.42210918
17185,778361,49646452,-154.2972077,56.42227283,14816,13719616,-154.2972077,56.42227283
17186,778362,20407254,-154.2370857,56.42240642,14816,13719616,-154.2370857,56.42240642
17187,778363,97968504,-154.1769633,56.42250995,14816,13719616,-154.1769633,56.42250994
17188,778364,24235598,-154.1168406,56.4225834,14816,13719616,-154.1168406,56.4225834
17189,778365,96510416,-154.0567177,56.4226268,14816,13719616,-154.0567177,56.4226268
17190,778366,6179857,-153.9965947,56.42264013,14816,13719616,-153.9965947,56.42264013
17191,778367,84797464,-153.9364717,56.42262339,14816,13719616,-153.9364717,56.42262339
17192,778368,32173142,-153.8763488,56.42257659,14816,13719616,-153.8763488,56.42257659
17193,778369,55781696,-153.8162261,56.42249973,14816,13719616,-153.8162261,56.42249973
17194,778370,72579904,-153.7561037,56.4223928,14816,13719616,-153.7561037,56.4223928
17195,778371,24831960,-153.6959817,56.42225581,14816,13719616,-153.6959817,56.42225581
17196,778372,72343672,-153.6358602,56.42208875,14816,13719616,-153.6358602,56.42208875
17197,778373,25306922,-153.5757393,56.42189163,14816,13719616,-153.5757393,56.42189163
17198,778374,86932120,-153.5156191,56.42166445,14816,13719616,-153.5156191,56.42166445
17199,778375,41906728,-153.4554997,56.4214072,14816,13719616,-153.4554997,56.4214072
17200,778376,7512741,-153.3953812,56.42111989,14816,13719616,-153.3953812,56.42111989
17201,778377,9710293,-153.3352637,56.42080253,14816,13719616,-153.3352637,56.42080253
17202,778378,89860352,-153.2751473,56.4204551,14816,13719616,-153.2751473,56.4204551
17203,778379,61523540,-153.2150321,56.42007761,14816,13719616,-153.2150321,56.42007761
17204,778380,57503028,-153.1549181,56.41967006,14816,13719616,-153.1549181,56.41967006
17205,778381,97268912,-153.0948055,56.41923246,14816,13719616,-153.0948055,56.41923246
17206,778382,92923312,-153.0346944,56.4187648,14816,13719616,-153.0346944,56.4187648
17208,778384,75581456,-152.9144771,56.41773931,14816,13719616,-152.9144771,56.41773931
17211,778387,21368458,-152.7341647,56.41597568,14816,13719616,-152.7341647,56.41597568
17212,778388,30927422,-152.6740646,56.41532771,14816,13719616,-152.6740646,56.41532771
17213,778389,11350793,-152.6139666,56.41464969,14816,13719616,-152.6139666,56.41464968
17214,778390,68635304,-152.553871,56.41394162,14816,13719616,-152.553871,56.41394162
17215,778391,46890828,-152.4937777,56.4132035,14816,13719616,-152.4937777,56.4132035
17216,778392,19012514,-152.4336868,56.41243535,14816,13719616,-152.4336868,56.41243535
17217,778393,98875656,-152.3735985,56.41163715,14816,13719616,-152.3735985,56.41163715
17219,778395,41722008,-152.2534301,56.40995064,14816,13719616,-152.2534301,56.40995064
17220,778396,20887980,-152.1933501,56.40906234,14816,13719616,-152.1933501,56.40906234
17221,778397,36077928,-152.1347677,56.40998435,14030.00094,12116507.51,-152.1332731,56.408144
17222,778398,10373737,-152.0763924,56.41393712,11775.07987,7863005.923,-152.0731991,56.40719563
17225,778706,62360708,-134.1611727,54.72361028,13546.24834,10904647.78,-134.1662691,54.72177543
17226,778707,28447514,-134.1113651,54.71196829,14816,13719616,-134.1113651,54.71196829
17227,778708,29807338,-134.056489,54.70213472,14816,13719616,-134.056489,54.70213472
17228,778709,28089248,-134.0016411,54.69227473,14816,13719616,-134.0016411,54.69227473
17229,778710,28639394,-133.9468212,54.68238834,14816,13719616,-133.9468212,54.68238834
17230,778711,52945988,-133.8920296,54.67247557,14816,13719616,-133.8920296,54.67247557
17231,778712,19419576,-133.8372661,54.66253644,14816,13719616,-133.8372661,54.66253644
17232,778713,13790461,-133.782531,54.65257097,14816,13719616,-133.782531,54.65257097
17233,778714,16961474,-133.7278241,54.64257917,14816,13719616,-133.7278241,54.64257917
17234,778715,19136800,-133.6731457,54.63256107,14816,13719616,-133.6731457,54.63256107
17235,778716,29397610,-133.6184957,54.62251668,14816,13719616,-133.6184957,54.62251668
17236,778717,85114584,-133.5638742,54.61244602,14816,13719616,-133.5638742,54.61244602
17237,778718,95346160,-133.5092812,54.60234911,14816,13719616,-133.5092812,54.60234911
