"","gridcode","Area_KM2","lon_centro","lat_centro","Shape_Leng","Shape_Area","lon","lat"
"13834",15751952,13.719616,-492422.2069,1934963.7754,0.238670160228,0.00281971433934,-165.288270232,66.9947976435
"13835",53102700,13.719616,-488718.2069,1934963.7754,0.238669202303,0.00282036374144,-165.204968235,67.0004216558
"13836",16149613,13.719616,-485014.2069,1934963.7754,0.238668122842,0.00282100869195,-165.121630624,67.006004486
"13837",26504356,13.719616,-481310.2069,1934963.7754,0.238666927296,0.00282164920844,-165.038257642,67.011546105
"13838",85074128,13.719616,-477606.2069,1934963.7754,0.238665612932,0.00282228520497,-164.954849526,67.0170464853
"13839",69879984,13.719616,-473902.2069,1934963.7754,0.23866418776,0.00282291680294,-164.871406519,67.0225055994
"13840",69327056,13.719616,-470198.2069,1934963.7754,0.23866265076,0.00282354392116,-164.787928863,67.0279234189
"13841",96855088,13.719616,-466494.2069,1934963.7754,0.238661005019,0.00282416655753,-164.704416799,67.0332999166
"13842",57993120,13.719616,-462790.2069,1934963.7754,0.238659251457,0.00282478467899,-164.62087057,67.0386350656
"13843",35342488,13.719616,-459086.2069,1934963.7754,0.23865739463,0.00282539830984,-164.537290421,67.0439288383
"13844",98704864,13.719616,-455382.2069,1934963.7754,0.23865543446,0.00282600741628,-164.453676596,67.0491812078
"13845",88376520,13.719616,-451678.2069,1934963.7754,0.238653376594,0.0028266120584,-164.370029339,67.0543921474
"13846",64281988,13.719616,-447974.2069,1934963.7754,0.238651219558,0.002827212161,-164.286348896,67.0595616308
"13847",96064360,13.719616,-444270.2069,1934963.7754,0.238648967879,0.00282780770558,-164.202635514,67.0646896314
"13848",60384268,13.719616,-440566.2069,1934963.7754,0.238646621425,0.00282839865726,-164.118889438,67.0697761232
"13849",27277994,13.719616,-436862.2069,1934963.7754,0.238644186316,0.00282898511891,-164.035110915,67.0748210804
"13850",24569762,13.719616,-433158.2069,1934963.7754,0.238641659179,0.00282956695257,-163.951300196,67.0798244767
"13851",69205280,13.719616,-429454.2069,1934963.7754,0.238639048445,0.00283014424699,-163.867457526,67.0847862867
"13852",35448444,10.7793499498,-425943.559618,1934614.5155,0.228606730661,0.00222378344847,-163.786791459,67.0863362052
"13853",90838072,3.9383876384,-422583.836576,1933777.82262,0.195075835478,0.000812259477365,-163.707903823,67.0833031505
"13854",57964372,0.0188456885762,-420102.687167,1933157.53527,0.014263298435,3.8869215745e-06,-163.649647853,67.0810248713
"13855",26412446,3.5281305612,-657757.256838,1930987.90228,0.113647511731,0.00071543217973,-168.946653884,66.6674123092
"13856",77950904,13.719616,-655398.2069,1931259.7754,0.238324582601,0.00278326840713,-168.896191661,66.6745244589
"13857",48760456,13.719616,-651694.2069,1931259.7754,0.238330992291,0.00278409833892,-168.814778311,66.6819202703
"13858",13714909,13.719616,-647990.2069,1931259.7754,0.238337196572,0.00278492438598,-168.733319653,66.6892763529
"13859",94881728,13.719616,-644286.2069,1931259.7754,0.238343194936,0.0027857465133,-168.651815896,66.6965926714
"13860",81778008,13.719616,-640582.2069,1931259.7754,0.238348988133,0.00278656468709,-168.570267248,66.7038691915
"13861",15024480,13.719616,-636878.2069,1931259.7754,0.238354577895,0.0027873788812,-168.488673917,66.7111058775
"13862",50339168,13.719616,-633174.2069,1931259.7754,0.23835996969,0.00278818915706,-168.407036114,66.7183026948
"13863",20874324,13.719616,-629470.2069,1931259.7754,0.238365161603,0.00278899541772,-168.325354048,66.7254596088
"13864",46590368,13.719616,-625766.2069,1931259.7754,0.23837015545,0.00278979765357,-168.243627932,66.7325765848
"13865",30434534,13.719616,-622062.2069,1931259.7754,0.238374954455,0.00279059590066,-168.161857977,66.7396535885
"13866",55898772,13.719616,-618358.2069,1931259.7754,0.238379562705,0.00279139020065,-168.080044397,66.746690586
"13867",42214580,13.719616,-614654.2069,1931259.7754,0.238383977226,0.0027921803629,-167.998187405,66.7536875428
"13868",7974978,13.719616,-610950.2069,1931259.7754,0.23838820309,0.00279296652104,-167.916287214,66.7606444254
"13869",93962240,13.719616,-607246.2069,1931259.7754,0.238392241906,0.00279374867394,-167.834344041,66.7675611995
"13870",85281296,13.719616,-603542.2069,1931259.7754,0.238396093655,0.00279452675244,-167.752358102,66.7744378319
"13871",92325080,13.719616,-599838.2069,1931259.7754,0.238399764076,0.00279530079512,-167.670329612,66.7812742896
"13872",33289530,13.719616,-596134.2069,1931259.7754,0.238403252131,0.00279607071039,-167.588258789,66.7880705386
"13873",78505424,13.719616,-592430.2069,1931259.7754,0.238406558713,0.0027968364794,-167.506145852,66.794826546
"13874",28502860,13.719616,-588726.2069,1931259.7754,0.23840968736,0.00279759815769,-167.423991018,66.8015422786
"13875",70097536,13.719616,-585022.2069,1931259.7754,0.238412643236,0.00279835580857,-167.341794508,66.8082177039
"13876",40703844,13.719616,-581318.2069,1931259.7754,0.238415424339,0.00279910929298,-167.259556542,66.8148527895
"13877",98732688,13.719616,-577614.2069,1931259.7754,0.238418030761,0.00279985858508,-167.177277341,66.8214475023
"13878",41806484,13.719616,-573910.2069,1931259.7754,0.238420469056,0.00280060372685,-167.094957128,66.82800181
"13879",93730552,13.719616,-570206.2069,1931259.7754,0.238422738248,0.00280134466868,-167.012596123,66.8345156808
"13880",83128448,13.719616,-566502.2069,1931259.7754,0.238424843493,0.00280208150216,-166.93019455,66.8409890825
"13881",18000204,13.719616,-562798.2069,1931259.7754,0.238426783014,0.00280281414453,-166.847752634,66.8474219835
"13882",53997500,13.719616,-559094.2069,1931259.7754,0.238428563321,0.00280354259799,-166.765270599,66.8538143517
"13883",52273792,13.719616,-555390.2069,1931259.7754,0.238430180105,0.00280426677255,-166.68274867,66.8601661556
"13884",7306555,13.719616,-551686.2069,1931259.7754,0.238431642487,0.00280498678594,-166.600187074,66.8664773641
"13885",58478180,13.719616,-547982.2069,1931259.7754,0.238432947719,0.00280570254422,-166.517586037,66.8727479457
"13886",67796816,13.719616,-544278.2069,1931259.7754,0.238434098123,0.00280641403363,-166.434945786,66.8789778696
"13887",12283173,13.719616,-540574.2069,1931259.7754,0.238435101029,0.00280712136636,-166.352266551,66.8851671053
"13888",89694576,13.719616,-536870.2069,1931259.7754,0.238435951351,0.0028078243727,-166.269548559,66.8913156216
"13889",65786488,13.719616,-533166.2069,1931259.7754,0.238436655035,0.00280852309002,-166.186792041,66.8974233876
"13890",25964510,13.719616,-529462.2069,1931259.7754,0.238437214533,0.00280921754734,-166.103997225,66.9034903738
"13891",86736384,13.719616,-525758.2069,1931259.7754,0.238437628323,0.00280990768068,-166.021164345,66.9095165498
"13892",54012124,13.719616,-522054.2069,1931259.7754,0.23843790317,0.00281059348464,-165.938293631,66.9155018853
"13893",38608060,13.719616,-518350.2069,1931259.7754,0.238438037654,0.00281127497522,-165.855385316,66.9214463503
"13894",26632106,13.719616,-514646.2069,1931259.7754,0.238438037243,0.00281195217025,-165.772439632,66.9273499155
"13895",42308192,13.719616,-510942.2069,1931259.7754,0.23843790241,0.0028126250381,-165.689456813,66.9332125515
"13896",86701696,13.719616,-507238.2069,1931259.7754,0.238437635028,0.00281329356643,-165.606437094,66.9390342287
"13897",88750600,13.719616,-503534.2069,1931259.7754,0.23843723668,0.00281395769358,-165.523380709,66.9448149181
"13898",8701888,13.719616,-499830.2069,1931259.7754,0.238436709671,0.00281461740567,-165.440287895,66.9505545908
"13899",1228759,13.719616,-496126.2069,1931259.7754,0.238436057618,0.0028152727954,-165.357158887,66.9562532178
"13900",31209278,13.719616,-492422.2069,1931259.7754,0.238435281337,0.0028159237724,-165.273993923,66.9619107703
"13901",69436208,13.719616,-488718.2069,1931259.7754,0.238434384672,0.00281657035641,-165.19079324,66.9675272202
"13902",42860104,13.719616,-485014.2069,1931259.7754,0.238433366793,0.0028172125098,-165.107557078,66.9731025392
"13903",89258088,13.719616,-481310.2069,1931259.7754,0.238432232412,0.00281785022228,-165.024285673,66.9786366994
"13904",18539156,13.719616,-477606.2069,1931259.7754,0.238430983455,0.00281848355878,-164.940979267,66.9841296724
"13905",11141432,13.719616,-473902.2069,1931259.7754,0.238429623142,0.00281911246048,-164.8576381,66.9895814309
"13906",70596912,13.719616,-470198.2069,1931259.7754,0.238428149651,0.00281973684046,-164.774262412,66.9949919472
"13907",54484452,13.719616,-466494.2069,1931259.7754,0.238426569752,0.00282035679915,-164.690852444,67.0003611939
"13908",73772128,13.719616,-462790.2069,1931259.7754,0.238424881243,0.00282097225657,-164.607408441,67.0056891441
"13909",95492128,13.719616,-459086.2069,1931259.7754,0.238423093516,0.00282158329572,-164.523930643,67.0109757705
"13910",4304263,13.719616,-455382.2069,1931259.7754,0.238421198488,0.00282218975099,-164.440419294,67.0162210462
"13911",53337680,13.719616,-451678.2069,1931259.7754,0.238419207898,0.00282279177263,-164.356874639,67.0214249446
"13912",60788376,13.719616,-447974.2069,1931259.7754,0.238417118631,0.00282338924485,-164.273296922,67.0265874395
"13913",26132164,13.719616,-444270.2069,1931259.7754,0.238414933924,0.00282398220202,-164.189686387,67.0317085046
"13914",59184032,13.719616,-440566.2069,1931259.7754,0.238412658259,0.00282457068921,-164.106043283,67.036788114
"13915",78908248,13.719616,-436862.2069,1931259.7754,0.238410289379,0.00282515456194,-164.022367854,67.0418262415
"13916",7800559,13.719616,-433158.2069,1931259.7754,0.238407834812,0.00282573393707,-163.938660347,67.0468228616
"13917",69102216,13.719616,-429454.2069,1931259.7754,0.238405293419,0.00282630874858,-163.854921011,67.0517779486
"13918",88801488,13.719616,-425750.2069,1931259.7754,0.238402666764,0.00282687897204,-163.771150094,67.0566914774
"13919",50398652,13.719616,-422046.2069,1931259.7754,0.238399959754,0.00282744463134,-163.687347845,67.0615634229
"13920",14319433,10.7793499498,-418535.559618,1930910.5155,0.228308200714,0.00222165259911,-163.606743158,67.0630271393
"13921",53977756,3.9383876384,-415175.836576,1930073.82262,0.194839594948,0.000811478599187,-163.527947113,67.0599101395
"13922",56769756,0.0188456885762,-412694.687167,1929453.53527,0.0142461708305,3.88317833233e-06,-163.469759154,67.057569889
"13923",1302868,6.6357024804,-658162.326001,1927411.22343,0.150536745202,0.00134396871092,-168.937575961,66.6352181048
"13924",86396096,13.719616,-655398.2069,1927555.7754,0.238088503206,0.00277962732928,-168.877645777,66.6420201916
"13925",67836776,13.719616,-651694.2069,1927555.7754,0.238094934404,0.00278045382539,-168.796326963,66.6494063243
"13926",14030222,13.719616,-647990.2069,1927555.7754,0.23810115871,0.00278127635859,-168.714963005,66.6567527742
"13927",50824524,13.719616,-644286.2069,1927555.7754,0.238107179028,0.0027820950312,-168.633554111,66.6640595058
"13928",77610032,13.719616,-640582.2069,1927555.7754,0.238112995597,0.0027829097542,-168.552100486,66.6713264848
"13929",46701832,13.719616,-636878.2069,1927555.7754,0.238118612123,0.00278372053388,-168.470602341,66.6785536758
"13930",82991712,13.719616,-633174.2069,1927555.7754,0.238124028575,0.00278452738904,-168.389059885,66.6857410443
"13931",19686576,13.719616,-629470.2069,1927555.7754,0.238129248043,0.00278533027072,-168.307473327,66.6928885561
"13932",17942212,13.719616,-625766.2069,1927555.7754,0.238134270268,0.00278612916094,-168.225842877,66.6999961766
"13933",21064360,13.719616,-622062.2069,1927555.7754,0.238139099991,0.00278692404858,-168.144168748,66.7070638715
"13934",65080624,13.719616,-618358.2069,1927555.7754,0.238143737302,0.00278771495262,-168.062451152,66.7140916067
"13935",2543590,13.719616,-614654.2069,1927555.7754,0.238148185147,0.00278850188969,-167.980690301,66.7210793487
"13936",36536428,13.719616,-610950.2069,1927555.7754,0.238152442978,0.00278928473877,-167.898886409,66.7280270633
"13937",16574527,13.719616,-607246.2069,1927555.7754,0.238156514861,0.00279006354078,-167.817039691,66.7349347167
"13938",73742696,13.719616,-603542.2069,1927555.7754,0.238160402194,0.00279083831617,-167.735150361,66.7418022756
"13939",92865296,13.719616,-599838.2069,1927555.7754,0.238164107949,0.00279160908128,-167.653218637,66.748629707
"13940",76556840,13.719616,-596134.2069,1927555.7754,0.23816763425,0.00279237577732,-167.571244734,66.7554169778
"13941",58393192,13.719616,-592430.2069,1927555.7754,0.23817097929,0.0027931383489,-167.489228869,66.762164055
"13942",73008376,13.719616,-588726.2069,1927555.7754,0.238174147769,0.00279389682536,-167.407171262,66.768870905
"13943",22001282,13.719616,-585022.2069,1927555.7754,0.238177143753,0.00279465124634,-167.325072131,66.7755374956
"13944",15629174,13.719616,-581318.2069,1927555.7754,0.238179963167,0.00279540150365,-167.242931695,66.7821637946
"13945",56071024,13.719616,-577614.2069,1927555.7754,0.238182613307,0.0027961476323,-167.160750174,66.7887497694
"13946",99190296,13.719616,-573910.2069,1927555.7754,0.238185096821,0.00279688969149,-167.078527791,66.7952953876
"13947",38321764,13.719616,-570206.2069,1927555.7754,0.238187411586,0.00279762756567,-166.996264766,66.8018006177
"13948",89090752,13.719616,-566502.2069,1927555.7754,0.238189560344,0.00279836125087,-166.913961322,66.8082654272
