OBJECTID,Id,gridcode,ShapeLon,ShapeLat,MeanSediment,ARDEMdepth,Depth,Shape_Length,Shape_Area,Lon,Lat
1481,713592,62715696,-172.9409901,56.54754064,1490.323242,1101.945679,,8106.41359,4030522.882,-172.9496866,56.53813321
1482,713593,81164632,-172.8898234,56.54978162,1482.793457,783.9865112,,14043.33851,11706426.87,-172.8917976,56.54746579
1483,713594,22864118,-172.8338791,56.55677048,422.9704895,414.6071777,,14816,13719616,-172.8338791,56.55677048
1484,713595,69304456,-172.7894171,56.56207868,202.60495,158.939743,,11343.08387,6694543.581,-172.7759311,56.56604727
1485,713600,9966702,-172.4638169,56.60233212,314.7470703,293.7836914,,6619.894165,1710138.948,-172.4857515,56.61201187
1486,713601,40124696,-172.421074,56.61312864,319.2247925,253.7558441,,10835.72224,6436872.937,-172.4276281,56.62112078
1487,713602,79425200,-172.3673891,56.62230714,207.547226,227.8642883,,10992.66685,7083254.215,-172.3694758,56.63020165
1488,713603,3309736,-172.3184082,56.62554848,190.3160248,240.7155151,,7466.648261,2278788.975,-172.3112945,56.63925445
1489,714935,2478509,-172.9017823,56.49686448,969.0546875,919.0001221,,3304.042784,448959.9848,-172.9327243,56.50626947
1490,714936,38054880,-172.8685391,56.51428572,1061.83374,932.7562866,,13642.31875,10648350.09,-172.8748814,56.51559427
1491,714937,94060488,-172.8170091,56.5248912,658.0025024,712.593811,,14816,13719616,-172.8170091,56.5248912
1492,714938,77359056,-172.7601762,56.53307839,288.1509399,312.328186,,14086.98045,12834066.61,-172.7591073,56.53416024
1493,714939,31026676,-172.7166209,56.53104415,264.355896,252.966095,,8263.278285,1944730.376,-172.7011762,56.54340137
1494,714941,61769180,-172.5701943,56.55149708,214.7811127,214.6335907,,8974.076466,2833595.449,-172.5852264,56.56179982
1495,714942,39552956,-172.5204765,56.56492667,261.7050171,310.3085327,,12107.81906,7778452.963,-172.5272078,56.5709571
1496,714943,67204264,-172.4682029,56.57976078,501.7722473,388.3374939,,14288.3745,13297838.66,-172.4691601,56.58008639
1497,714944,62161372,-172.4110834,56.58918767,478.4074402,428.3649902,,14816,13719616,-172.4110834,56.58918767
1498,714945,73162904,-172.3529778,56.59826093,377.9322815,397.2008972,,14816,13719616,-172.3529778,56.59826093
1499,714946,97562040,-172.2951979,56.60693959,200.3799591,337.1176147,,14408.88551,13444955.57,-172.2948434,56.60730613
1500,714947,89960304,-172.2414213,56.60872254,164.9650116,271.5564575,,11724.42749,6716973.093,-172.2366802,56.61632327
1501,714948,36421056,-172.1985383,56.60548274,160.0487366,203.0201111,,643.9635501,17372.15497,-172.1784882,56.62531232
1502,716278,93441952,-172.9021973,56.47570384,983.1038208,992.5107422,,10616.10027,7084733.513,-172.9157916,56.47440217
1503,716279,26230972,-172.8592634,56.48453416,1189.381348,1139.000244,,14429.43357,12882480.89,-172.8579947,56.4837192
1504,716280,59501368,-172.7998317,56.49341247,723.4536133,918.3353882,,14553.68058,13419960,-172.8001684,56.49300838
1505,716281,81334424,-172.7423129,56.50226968,456.3623047,613.756897,,14816,13719616,-172.7423129,56.50226968
1506,716282,49016532,-172.6847848,56.51107494,348.9266663,366.9111328,,14363.63198,13401356.54,-172.684428,56.5115031
