"","gridcode","Stratum","Area_KM2","lon_centro","lat_centro","Shape_Leng","Shape_Area","lon","lat"
"12946",54346520,"70",13.719616,-744294.2069,1368251.7754,0.208684745813,0.00231743425193,-168.167757121,61.5760004447
"12947",55132616,"70",13.719616,-740590.2069,1368251.7754,0.208695957661,0.00231795391777,-168.099355624,61.5829957754
"12948",36850692,"70",13.719616,-736886.2069,1368251.7754,0.208707055859,0.00231847143606,-168.03092374,61.5899577643
"12949",24723634,"70",13.719616,-733182.2069,1368251.7754,0.208718037473,0.0023189867465,-167.962461596,61.5968863893
"12950",87395416,"70",13.719616,-729478.2069,1368251.7754,0.208728903864,0.00231949982066,-167.893969318,61.6037816284
"12951",81254728,"70",13.719616,-725774.2069,1368251.7754,0.208739657578,0.00232001070686,-167.82544703,61.610643459
"12952",57496772,"70",13.719616,-722070.2069,1368251.7754,0.208750294407,0.0023205193086,-167.75689486,61.6174718592
"12953",8715359,"70",13.719616,-718366.2069,1368251.7754,0.208760818333,0.0023210256731,-167.688312934,61.6242668078
"12954",65799440,"70",13.719616,-714662.2069,1368251.7754,0.208771231145,0.0023215298212,-167.619701378,61.6310282823
"12955",91200544,"70",13.719616,-710958.2069,1368251.7754,0.208781529617,0.0023220316976,-167.551060321,61.6377562611
"12956",15385297,"70",13.719616,-707254.2069,1368251.7754,0.208791716506,0.00232253129363,-167.48238989,61.6444507228
"12957",72606088,"70",13.719616,-703550.2069,1368251.7754,0.208801794418,0.0023230286872,-167.413690213,61.6511116462
"12958",34206228,"70",13.719616,-699846.2069,1368251.7754,0.208811761358,0.00232352381909,-167.344961419,61.6577390089
"12959",58783972,"70",13.719616,-696142.2069,1368251.7754,0.208821618607,0.0023240166694,-167.276203636,61.6643327898
"12960",2590950,"70",13.719616,-692438.2069,1368251.7754,0.208831365187,0.00232450719989,-167.207416993,61.6708929684
"12961",92183352,"70",13.719616,-688734.2069,1368251.7754,0.208841004902,0.00232499551409,-167.13860162,61.6774195229
"12962",84412864,"70",13.719616,-685030.2069,1368251.7754,0.208850538701,0.00232548158512,-167.069757647,61.683912432
"12963",29305690,"70",13.719616,-681326.2069,1368251.7754,0.208859964114,0.0023259653332,-167.000885204,61.690371675
"12964",36041284,"70",13.719616,-677622.2069,1368251.7754,0.208869280137,0.00232644671986,-166.931984422,61.6967972307
"12965",76261720,"70",13.719616,-673918.2069,1368251.7754,0.208878491911,0.00232692584663,-166.863055431,61.7031890783
"12966",80782528,"70",13.719616,-670214.2069,1368251.7754,0.208887600213,0.00232740272263,-166.794098363,61.7095471978
