"","X","Y","area_km2","geometry"
"632",372.203045937433,6870.23380900774,10.2525141053343,c(372203.045937433, 6870233.80900774)
"633",382.00221384501,6880.39372196083,481.424551139268,c(382002.21384501, 6880393.72196083)
"634",403.262380519377,6886.09280598782,493.906176,c(403262.380519377, 6886092.80598782)
"635",424.829432365831,6891.6827413174,493.906176,c(424829.432365831, 6891682.7413174)
"636",443.079656909978,6896.18453902791,338.932086436747,c(443079.656909978, 6896184.53902792)
"671...66",374.919913824054,6853.91222263607,88.4883501425514,c(374919.913824054, 6853912.22263607)
"672...67",387.326490080538,6859.07943467268,493.906176,c(387326.490080538, 6859079.43467268)
"673...68",408.897137948438,6864.66720036211,493.906176,c(408897.137948438, 6864667.2003621)
"674...69",430.465744519233,6870.25848366225,493.906176,c(430465.744519233, 6870258.48366225)
"675...70",450.794815628129,6874.91454270933,426.400861684509,c(450794.815628129, 6874914.54270933)
"676...71",466.041054430301,6868.97065757307,2.63257986554813,c(466041.054430301, 6868970.65757307)
"710",378.415992421596,6832.92286332283,179.205811040499,c(378415.992421596, 6832922.86332283)
"711",392.962316224875,6837.65514452706,493.906176,c(392962.316224875, 6837655.14452706)
"712",414.534092301626,6843.24444798081,493.906176,c(414534.092301626, 6843244.44798081)
"713",436.104036534382,6848.83703684135,493.906176,c(436104.036534382, 6848837.03684135)
"714",457.672332836434,6854.43311389305,493.906176,c(457672.332836434, 6854433.11389305)
"715",474.37042502345,6855.59237161847,190.776151273244,c(474370.42502345, 6855592.37161847)
"749",382.020347711824,6811.29795692375,269.923271938446,c(382020.347711824, 6811297.95692375)
"750",398.600314750871,6816.2334328883,493.906176,c(398600.314750871, 6816233.4328883)
"751",420.173009151316,6821.82422928218,493.906176,c(420173.009151315, 6821824.22928218)
"752",441.744077541187,6827.41807805897,493.906176,c(441744.077541187, 6827418.07805897)
"753",463.313703756893,6833.01518301345,493.906176,c(463313.703756893, 6833015.18301345)
"754",484.530716475385,6838.04798639874,468.517670506298,c(484530.716475385, 6838047.98639874)
"755",500.226047575874,6836.48994621978,73.1305371993198,c(500226.047575874, 6836489.94621978)
"788...85",385.705695687054,6792.06551335523,276.40559036259,c(385705.695687054, 6792065.51335523)
"789...86",404.328449854188,6794.99715161741,486.629413242142,c(404328.449854188, 6794997.15161741)
"790...87",425.813660058642,6800.40622885941,493.906176,c(425813.660058642, 6800406.22885941)
"791...88",447.385642585488,6806.00128883626,493.906176,c(447385.642585488, 6806001.28883626)
"792...89",468.956385218387,6811.59937208937,493.906176,c(468956.385218387, 6811599.37208937)
"793...90",490.526072987337,6817.20068114527,493.906176,c(490526.072987337, 6817200.68114527)
"794...91",508.478876646316,6820.69158264357,305.367219928201,c(508478.876646316, 6820691.58264357)
"828...92",413.287115952169,6784.2790288546,31.8706417617865,c(413287.115952169, 6784279.0288546)
"829...93",431.130520717168,6786.383383795,161.449941538149,c(431130.520717168, 6786383.383795)
"830...94",452.761498723322,6788.93714713076,297.857843507593,c(452761.498723322, 6788937.14713076)
"831...95",474.836413635997,6791.55330221573,433.996941831351,c(474836.413635997, 6791553.30221573)
"832...96",496.170954550734,6795.78736591187,493.906176,c(496170.954550734, 6795787.36591187)
"833...97",516.752532529869,6800.84682745491,444.487865067938,c(516752.532529869, 6800846.82745491)
"870",492.11661251458,6764.80895607097,12.0355268099571,c(492116.61251458, 6764808.95607097)
"871",502.035421104611,6774.29862830367,485.090473798743,c(502035.421104611, 6774298.62830367)
"872",523.37988076819,6779.96857436265,493.422691834433,c(523379.88076819, 6779968.57436265)
"873",534.75317128001,6781.8029980919,11.3392737828417,c(534753.17128001, 6781802.9980919)
"909...102",495.049232388407,6747.87285496276,88.5326663904095,c(495049.232388407, 6747872.85496276)
"910...103",507.462540623802,6752.96472543889,493.906176,c(507462.540623802, 6752964.72543889)
"911...104",528.144956661393,6758.75360765124,456.036177061533,c(528144.956661393, 6758753.60765124)
"912...105",537.501286416186,6770.89573727972,1.04020695864916,c(537501.286416186, 6770895.73727973)
"948...106",498.649892581734,6726.85537182506,175.249017901873,c(498649.892581734, 6726855.37182506)
"949...107",513.108846892801,6731.55478177193,493.906176,c(513108.846892801, 6731554.78177193)
"950...108",531.4868887196,6736.90472729193,351.453105839075,c(531486.8887196, 6736904.72729193)
"987",501.525510164784,6711.91444435959,104.260791515401,c(501525.510164784, 6711914.44435959)
"988",518.481378648777,6714.15329955035,313.42702404205,c(518481.378648777, 6714153.29955035)
"989",534.612452921925,6716.85853963564,208.938371248388,c(534612.452921925, 6716858.53963564)
"324.1",410.189137120293,7078.04827807955,2.0751993548007,c(410189.137120293, 7078048.27807955)
"325.1",423.322854209589,7071.75555507634,349.100361748175,c(423322.854209589, 7071755.55507634)
"326",444.837956111343,7074.02697080972,225.600018168854,c(444837.956111343, 7074026.97080972)
"327",462.082422819689,7076.04393495879,59.6265668032527,c(462082.422819689, 7076043.93495879)
"364.1",430.275258722257,7053.73020100574,409.355146764446,c(430275.258722257, 7053730.20100574)
"365",449.604135386646,7058.7857656421,473.766717740249,c(449604.135386646, 7058785.7656421)
"366",461.833703591253,7067.72233647768,53.6213496941319,c(461833.703591253, 7067722.33647768)
"403.1",437.280250155286,7032.42236073679,349.30066047297,c(437280.250155286, 7032422.36073679)
"404",451.994575417875,7036.33294398321,324.955523731346,c(451994.575417875, 7036332.94398321)
"442.1",442.767324920573,7010.57267319362,359.52591838206,c(442767.324920573, 7010572.67319362)
"443",461.023285193039,7015.08108664018,469.759432914875,c(461023.285193039, 7015081.08664018)
"444...123",484.516068301612,7017.93978382159,324.985043185859,c(484516.068301612, 7017939.78382159)
"445...124",504.028843903595,7023.76564786711,352.392773663624,c(504028.843903595, 7023765.6478671)
"446...125",520.611287066699,7022.946297388,51.140681786674,c(520611.287066699, 7022946.297388)
"481.1",446.921050501874,6988.60424118463,427.851013615445,c(446921.050501874, 6988604.24118464)
"482",466.967549450759,6994.19698945719,493.906176,c(466967.549450759, 6994196.98945719)
