OBJECTID,Id,gridcode,ShapeLongitude,ShapeLatitude,Shape_Length,Shape_Area,Longitude,Latitude
10993,715229,582692,-154.9996385,57.9778151,15534.6266,13055019.33,-155.00109,57.9781833
10994,715230,81299040,-154.9383048,57.9786675,14816,13719616,-154.93830,57.9786675
10995,715231,58158920,-154.8755216,57.9791203,14816,13719616,-154.87552,57.9791203
10996,715232,54201660,-154.8127368,57.9795417,14816,13719616,-154.81274,57.9795417
10997,715233,87177304,-154.7499506,57.9799318,14816,13719616,-154.74995,57.9799318
10998,715234,14299254,-154.687163,57.9802905,14816,13719616,-154.68716,57.9802905
10999,715235,4884850,-154.6243742,57.9806179,14816,13719616,-154.62437,57.9806179
11000,715236,2469852,-154.5615843,57.980914,14816,13719616,-154.56158,57.980914
11001,715237,30198096,-154.4987934,57.9811787,14816,13719616,-154.49879,57.9811787
11002,715238,66554896,-154.4360016,57.981412,14816,13719616,-154.43600,57.981412
11003,715239,19409660,-154.373209,57.9816141,14816,13719616,-154.37321,57.9816141
11004,715240,97019984,-154.3104157,57.9817847,14816,13719616,-154.31042,57.9817847
11005,715241,12126121,-154.2476219,57.981924,14816,13719616,-154.24762,57.981924
11006,715242,77726096,-154.1848276,57.982032,14816,13719616,-154.18483,57.982032
11007,715243,47674988,-154.122033,57.9821086,14816,13719616,-154.12203,57.9821086
11008,715244,40033248,-154.0592382,57.9821538,14816,13719616,-154.05924,57.9821538
11009,715245,9450881,-153.9964433,57.9821677,14816,13719616,-153.99644,57.9821677
11010,715246,11621866,-153.9336484,57.9821503,14816,13719616,-153.93365,57.9821503
11011,715247,4742193,-153.8708536,57.9821015,14816,13719616,-153.87085,57.9821015
11012,715248,99163200,-153.8080591,57.9820213,14816,13719616,-153.80806,57.9820213
11013,715249,57594112,-153.7452649,57.9819098,14816,13719616,-153.74526,57.9819098
11014,715250,98302992,-153.6824711,57.981767,14816,13719616,-153.68247,57.981767
11015,715251,83394192,-153.6196779,57.9815927,14816,13719616,-153.61968,57.9815927
11016,715252,89576216,-153.5568854,57.9813872,14816,13719616,-153.55689,57.9813872
11017,715253,65122180,-153.4952509,57.9822382,16390.2274,12758025.02,-153.49409,57.9811503
11018,715254,50661856,-153.4310829,57.9809932,14682.2108,13617820.83,-153.43130,57.980882
11019,715255,93645288,-153.3685131,57.9805824,14816,13719616,-153.36851,57.9805824
11020,715256,86895880,-153.3215006,57.9803376,16201.7506,9405560.793,-153.30572,57.9802515
11022,715258,38944304,-153.1787206,57.9814297,14181.5098,12014811.25,-153.18015,57.9794955
11023,715259,59154080,-153.1173528,57.9790775,14762.9334,13713692.64,-153.11737,57.9790705
11024,715260,40348052,-153.0563403,57.97633,14437.5674,11702430.14,-153.05458,57.9786142
11025,715261,5545280,-152.9947196,57.9717705,12703.1337,8229376.299,-152.99180,57.9781265
11026,715262,39923716,-152.9293171,57.9679539,23592.7747,9379745.866,-152.92902,57.9776075
11027,715263,78528856,-152.8663561,57.9736129,25744.6461,10718412.62,-152.86624,57.9770572
11030,715266,70192488,-152.6779126,57.9752173,14967.442,13714305.57,-152.67792,57.9752181
11031,715267,92664936,-152.6151557,57.9745424,14816,13719616,-152.61516,57.9745424
11032,715268,33592360,-152.5523893,57.9738353,14816,13719616,-152.55239,57.9738353
11033,715269,80831608,-152.4898065,57.9735297,20405.3661,13132652.57,-152.48963,57.973097
11034,715270,95575616,-152.4424565,57.9747265,23797.6859,11183015.37,-152.42686,57.9723273
11035,715271,23688054,-152.3641061,57.9715263,14816,13719616,-152.36411,57.9715263
11036,715272,47623532,-152.3013508,57.9706939,14816,13719616,-152.30135,57.9706939
11037,715273,38993392,-152.2385985,57.9698303,14816,13719616,-152.23860,57.9698303
11038,715274,50530724,-152.1758493,57.9689353,14816,13719616,-152.17585,57.9689353
11039,715275,32101944,-152.1131034,57.968009,14816,13719616,-152.11310,57.968009
11040,715276,85472160,-152.0503608,57.9670514,14816,13719616,-152.05036,57.9670514
11041,715277,28343654,-151.9876218,57.9660625,14816,13719616,-151.98762,57.9660625
11042,715278,44049720,-151.9248863,57.9650422,14816,13719616,-151.92489,57.9650422
11043,715279,73877336,-151.8621545,57.9639907,14816,13719616,-151.86215,57.9639907
11044,715280,61531980,-151.7994266,57.9629078,14816,13719616,-151.79943,57.9629078
11045,715281,46190032,-151.7367025,57.9617937,14816,13719616,-151.73670,57.9617937
11046,715282,41419032,-151.6739826,57.9606482,14816,13719616,-151.67398,57.9606482
11047,715283,13880609,-151.6112667,57.9594715,14816,13719616,-151.61127,57.9594715
11048,715284,22311796,-151.5485552,57.9582635,14816,13719616,-151.54856,57.9582635
11049,715285,28157568,-151.485848,57.9570242,14816,13719616,-151.48585,57.9570242
11050,715286,97307968,-151.4231452,57.9557535,14816,13719616,-151.42315,57.9557535
11051,715287,54471092,-151.3604471,57.9544516,14816,13719616,-151.36045,57.9544516
11052,715288,46034176,-151.2977537,57.9531185,14816,13719616,-151.29775,57.9531185
11053,715289,46485380,-151.2350651,57.951754,14816,13719616,-151.23507,57.951754
11054,715290,88874784,-151.1723815,57.9503583,14816,13719616,-151.17238,57.9503583
11055,715291,74069408,-151.1097028,57.9489313,14816,13719616,-151.10970,57.9489313
11056,715292,49870504,-151.0470294,57.9474731,14816,13719616,-151.04703,57.9474731
11057,715293,60004836,-150.9843612,57.9459835,14816,13719616,-150.98436,57.9459835
11058,715294,3348964,-150.9216983,57.9444628,14816,13719616,-150.92170,57.9444628
11059,715295,3489744,-150.859041,57.9429107,14816,13719616,-150.85904,57.9429107
11060,715296,99009296,-150.7963892,57.9413275,14816,13719616,-150.79639,57.9413275
11061,715297,93209648,-150.7337432,57.939713,14816,13719616,-150.73374,57.9397129
11062,715298,31326716,-150.671103,57.9380672,14816,13719616,-150.67110,57.9380672
11063,715299,28068574,-150.6084687,57.9363902,14816,13719616,-150.60847,57.9363902
11064,715300,89872112,-150.5458404,57.934682,14816,13719616,-150.54584,57.934682
11065,715301,77130784,-150.4832183,57.9329425,14816,13719616,-150.48322,57.9329425
11066,715302,71709456,-150.4206024,57.9311718,14816,13719616,-150.42060,57.9311718
11067,715303,6533209,-150.3579929,57.9293699,14816,13719616,-150.35799,57.9293699
11068,715304,32921800,-150.2953899,57.9275368,14816,13719616,-150.29539,57.9275368
11069,715305,46919392,-150.2327935,57.9256725,14816,13719616,-150.23279,57.9256725
11070,715306,42895660,-150.1702038,57.9237769,14816,13719616,-150.17020,57.9237769
11071,715307,5863537,-150.1076209,57.9218502,14816,13719616,-150.10762,57.9218502
11072,715308,70245416,-150.0450449,57.9198923,14816,13719616,-150.04504,57.9198923
11073,715309,23836302,-149.982476,57.9179031,14816,13719616,-149.98248,57.9179031
11074,715310,2847814,-149.9199141,57.9158828,14816,13719616,-149.91991,57.9158828
11075,715311,35583120,-149.8573596,57.9138314,14816,13719616,-149.85736,57.9138314
11076,715312,96517024,-149.7948124,57.9117487,14816,13719616,-149.79481,57.9117487
11077,715313,79769304,-149.7322726,57.9096349,14816,13719616,-149.73227,57.9096349
11078,715314,25703356,-149.6697405,57.9074899,14816,13719616,-149.66974,57.9074899
11079,715315,27650654,-149.607216,57.9053137,14816,13719616,-149.60722,57.9053137
11080,715316,64707036,-149.5446993,57.9031064,14816,13719616,-149.54470,57.9031064
11081,715317,88381016,-149.4821906,57.900868,14816,13719616,-149.48219,57.900868
11082,715318,54780892,-149.4196898,57.8985984,14816,13719616,-149.41969,57.8985984
11083,715319,74054536,-149.3571972,57.8962977,14816,13719616,-149.35720,57.8962977
11096,715541,77822808,-135.8731357,56.6332596,14816,13719616,-135.87314,56.6332596
11097,715542,52753220,-135.8149184,56.6242955,14816,13719616,-135.81492,56.6242955
11098,715543,95276384,-135.7567297,56.6153032,14816,13719616,-135.75673,56.6153032
11099,715544,38522908,-135.6985697,56.6062829,14816,13719616,-135.69857,56.6062829
11100,715545,71417896,-135.6404386,56.5972345,14816,13719616,-135.64044,56.5972345
11101,715546,51777504,-135.5823363,56.5881581,14816,13719616,-135.58234,56.5881581
11102,715547,28378320,-135.5242629,56.5790536,14816,13719616,-135.52426,56.5790536
11103,715548,38942592,-135.4662185,56.5699212,14816,13719616,-135.46622,56.5699212
11104,715549,58615540,-135.4082031,56.5607607,14816,13719616,-135.40820,56.5607607
11105,715550,22603892,-135.3502169,56.5515723,14816,13719616,-135.35022,56.5515723
11106,715551,69523944,-135.2922599,56.5423559,14816,13719616,-135.29226,56.5423559
11107,715552,37147448,-135.2343322,56.5331117,14816,13719616,-135.23433,56.5331117
11108,715553,35094796,-135.1764337,56.5238395,14816,13719616,-135.17643,56.5238395
11109,715554,10230509,-135.1185647,56.5145394,14816,13719616,-135.11856,56.5145394
11110,715555,60306592,-135.061729,56.5049427,16988.8543,13287925.47,-135.06073,56.5052114
11124,716571,99654472,-155.0610271,57.940552,14673.4417,10219831.76,-155.06286,57.9445145
11125,716572,17443638,-155.0001408,57.9450295,14816,13719616,-155.00014,57.9450295
11126,716573,50645740,-154.9374185,57.9455132,14816,13719616,-154.93742,57.9455132
