"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"10","2017","EBS"," [kg]",1139769.97511959,142235.297905954,0.135594053141772
"11","2017","EBS"," [kg]",220032.767516011,37461.5994021514,0.191351401527425
"12","2017","EBS"," [kg]",221387.16193221,37101.852325016,0.191786723138692
"13","2017","EBS"," [kg]",245287.475772864,44685.5226532481,0.214323186510395
"1","2018","EBS"," [kg]",9456.31065514258,3941.54938835375,0.4926238958084
"2","2018","EBS"," [kg]",24457081.4020145,2706183.11914925,0.125625313791192
"3","2018","EBS"," [kg]",30712507.3210969,2850879.94452598,0.103296168683503
"4","2018","EBS"," [kg]",71211792.2508265,5223835.05068727,0.080670713874307
"5","2018","EBS"," [kg]",41966798.8368053,2262272.23754606,0.0586274298302409
"6","2018","EBS"," [kg]",61815460.8958009,2917945.33797774,0.0505297516189686
"7","2018","EBS"," [kg]",20603157.2098799,991861.697782288,0.0510183912719228
"8","2018","EBS"," [kg]",8758004.31925233,492384.656584138,0.0593999361863684
"9","2018","EBS"," [kg]",875225.64425616,95957.5528978409,0.117268373653704
"10","2018","EBS"," [kg]",608291.857820596,82383.9957759514,0.147511690995053
"11","2018","EBS"," [kg]",185608.744000334,36727.1598633159,0.223388889400598
"12","2018","EBS"," [kg]",84879.2496987884,19055.8846963102,0.259726194349357
"13","2018","EBS"," [kg]",139328.43601242,30292.7217652806,0.257725704971974
"1","2019","EBS"," [kg]",4423.9072648202,3184.07254027242,0.899599520400694
"2","2019","EBS"," [kg]",403819652.853445,47369510.3427952,0.134066568070545
"3","2019","EBS"," [kg]",37106548.3046231,2889965.39225918,0.0879249100894808
"4","2019","EBS"," [kg]",38025316.4977734,2282998.47894686,0.0664964378980221
"5","2019","EBS"," [kg]",31836068.3661329,1612948.52745802,0.0547720426165947
"6","2019","EBS"," [kg]",24248760.8351403,1111360.50459778,0.048959602987432
"7","2019","EBS"," [kg]",29805968.5541583,1375322.48795015,0.0490399758853094
"8","2019","EBS"," [kg]",14272329.3797134,697197.633371894,0.0516989580179749
"9","2019","EBS"," [kg]",3769598.24527549,294703.954121144,0.0824577517026536
"10","2019","EBS"," [kg]",570104.501035003,80517.9364136978,0.154837795198761
"11","2019","EBS"," [kg]",202856.31072659,42517.5282779026,0.239383890013441
"12","2019","EBS"," [kg]",131234.139937472,29299.4370585891,0.260639903259058
"13","2019","EBS"," [kg]",263536.649543373,57189.0596720309,0.260673657359197
"1","1994","NBS"," [kg]",113868.397172559,58029.1273023426,0.733594605109162
"2","1994","NBS"," [kg]",16057974.123856,6441627.44744261,0.607356142200047
"3","1994","NBS"," [kg]",21150520.5627821,9491882.98395408,0.793423172290439
"4","1994","NBS"," [kg]",6613984.28748153,3008264.58599279,0.747734721916236
"5","1994","NBS"," [kg]",7185003.49499947,3108009.43607232,0.63945961237193
"6","1994","NBS"," [kg]",12743059.4745968,5073152.11244203,0.531213423799439
"7","1994","NBS"," [kg]",13822302.0691671,5335558.22820865,0.500006741082404
"8","1994","NBS"," [kg]",4039790.03757239,1523312.0447501,0.475232056069454
"9","1994","NBS"," [kg]",2811501.52026581,1075559.64619872,0.471099775578403
"10","1994","NBS"," [kg]",1197912.16662374,468538.348532207,0.481112211551843
"11","1994","NBS"," [kg]",340686.677237838,126086.964172928,0.448379682725298
