"","age_0","age_1","age_2","age_3","age_4","age_5","age_6","age_7","age_8","age_9","age_10","age_11","age_12+","Year","Region"
"X23",2.79883302586982e-06,0.0903763709497936,0.0898682449417365,0.34716116955012,0.227050971879814,0.168751512267498,0.056926538687102,0.0130775858847593,0.00439421736973839,0.0014701674678852,0.000487571371566989,0.000287594841780437,0.000145255955180322,"2016","Both"
"X24",5.84106933745786e-05,0.107366307789331,0.167324859349589,0.156888721427091,0.287672781493282,0.164432783805681,0.083014282361535,0.0245285402472442,0.00396406403475763,0.00298489911190296,0.000589571380782366,0.000527704196345242,0.000647074109084818,"2017","Both"
"X25",3.3453034236999e-05,0.0702093307193851,0.099871428860652,0.252664505211178,0.166954835807053,0.288154874086116,0.0871426368634905,0.0293628183698791,0.00263444322148684,0.0018106541515898,0.000518958560873871,0.000212090002257874,0.000429971111800627,"2018","Both"
"X26",8.08054098876712e-06,0.593733868659388,0.079755875031739,0.0752785483859427,0.0757472802069434,0.0616850377313651,0.0757977350645971,0.0289508073971396,0.0066572863452075,0.001139390128549,0.000358893447218969,0.000196528726837433,0.000690668334083339,"2019","Both"
"X27",0.000131348867264408,0.100175150961689,0.394343075892744,0.175087512966759,0.114297103697607,0.108417612637579,0.073110316946129,0.019243553442571,0.00752316771072258,0.00413195069334472,0.00129292654478142,0.00107263735821369,0.00117364228059616,"1994","EBS"
"X28",9.11986723193012e-05,0.0579621385985172,0.260299382354056,0.430907184912557,0.102090325896637,0.0721050438363235,0.0485014960208916,0.0125344555486279,0.00640871568291771,0.00502890991873143,0.00136419907381783,0.00138980943696481,0.00131714004763862,"1995","EBS"
"X29",2.31818450305033e-05,0.064905393255034,0.202337485821377,0.188747601850963,0.286481937974638,0.140458780872876,0.0673671936825617,0.0323147874955108,0.00885097727307952,0.00352185118876968,0.00178539960457255,0.00159884039431556,0.00160656874127222,"1996","EBS"
"X30",0.000235734826724197,0.269602027159353,0.176159839273161,0.158754845284742,0.147217125938535,0.117749059877895,0.0906706102163318,0.0238637224859162,0.0102383766529087,0.00230226518362378,0.00171318419572891,0.000880928956726444,0.000612279948354999,"1997","EBS"
"X31",4.69152162945883e-05,0.0686545823515715,0.456382261203104,0.201271965551306,0.110041644514681,0.0557961856397927,0.0573014688296398,0.0290241560567374,0.0161052030216963,0.00347786490986492,0.000695314260842597,0.000786714508188715,0.000415723936281041,"1998","EBS"
"X32",4.77068677295797e-05,0.0821034744246724,0.200539811593516,0.311170725709626,0.226577370225557,0.075337203313089,0.0561578548757436,0.0276303506745022,0.0120590401202754,0.00544250171014186,0.0010072686505163,0.00132120460667469,0.000605487227955559,"1999","EBS"
"X33",0,0.198473882581522,0.122488773665021,0.17412347737345,0.248290479612327,0.156224058294269,0.0607281377538738,0.0140876432115108,0.015189405960904,0.00471455813242572,0.00348274039943269,0.00153397748194301,0.000662865533321065,"2000","EBS"
"X34",2.75602013745986e-05,0.296787474272587,0.241793646707459,0.193434456044382,0.0856296196741085,0.0828161331867575,0.0647761422138375,0.023534078545169,0.0067201733337554,0.00170167466905188,0.00134963427050003,0.000994929799617406,0.000434477081400656,"2001","EBS"
"X35",0.000253619825261341,0.0772986241905427,0.20022711074949,0.310092031076578,0.236241120152396,0.0683441981493223,0.0574642497447263,0.0359856220395932,0.00929397093543155,0.00281647492654037,0.000919924286621244,0.000481416246712784,0.000581637676784221,"2002","EBS"
"X36",4.91117659569725e-06,0.170992948931772,0.164031890517342,0.239436145799538,0.209065707874062,0.122878313084738,0.0431810744661501,0.0296944512196012,0.0153438548852847,0.0035349971418213,0.000480684180648173,0.000609664420352389,0.0007453563020938,"2003","EBS"
"X37",3.00652216890528e-05,0.136134914169351,0.16838503778285,0.277071887187651,0.128364642081039,0.129572384190615,0.0926629483072597,0.0362082550438049,0.0193585988501609,0.00753155413630311,0.0020345159256587,0.00189190615371112,0.000753290949906344,"2004","EBS"
"X38",2.72774030727665e-06,0.15053647786943,0.237000015999653,0.215770982116265,0.131162807984203,0.06933707122884,0.0897954063220234,0.0618444569928194,0.0258060396888964,0.0103706638964418,0.00352581406085024,0.00431185199953133,0.00053568410073837,"2005","EBS"
"X39",0,0.324176629832188,0.146003978084709,0.17208510181448,0.116496978204145,0.0913860841986075,0.0618385632669233,0.0454935378091707,0.0275207745211958,0.00968676060555064,0.00314628831376416,0.00133085771875821,0.000834445630507859,"2006","EBS"
"X40",0,0.648564488952679,0.110545631745162,0.0791152800558667,0.0525123700323029,0.0531867009173829,0.0209789596430227,0.0169797984120451,0.00873393525891876,0.00550626305567675,0.00174809089551639,0.00116028615442957,0.000968194876996708,"2007","EBS"
"X41",0,0.209773008867651,0.431417604292244,0.154741983193371,0.0901687614912241,0.0507512622872604,0.0303094387858397,0.0107358783582049,0.0101852872389564,0.00599315474965788,0.00247488604387277,0.00207092404150076,0.00137781065021736,"2008","EBS"
"X42",0,0.448370659772211,0.182066453976076,0.243060210230597,0.0663409419987802,0.028362460182809,0.0143753926137598,0.00903106275105964,0.00450622599231487,0.00176965721819727,0.000978140582119838,0.000713765578985242,0.000425029103089453,"2009","EBS"
"X43",0,0.0443621994748907,0.474121553727843,0.186808919877284,0.202776740422733,0.0632362943791104,0.0152611987763514,0.00798910678471542,0.00260880489135133,0.00147252164183638,0.0005867432555267,0.000637302163516037,0.000138614604841554,"2010","EBS"
"X44",5.9812467015175e-05,0.283504655540032,0.0757957682852473,0.389346129509698,0.115503348836041,0.0937847902967553,0.0282345141452184,0.00708379524081883,0.00295884747763101,0.00151940545055373,0.00107024784364346,0.000655918243923975,0.000482766663422473,"2011","EBS"
"X45",0,0.376993794499722,0.239770250415593,0.0618251895506638,0.223192576530117,0.0579802253718466,0.0284202176025434,0.00718954057155537,0.00218545963075676,0.00156407233248975,0.000536761235724488,0.000145014692730711,0.000196897566256856,"2012","EBS"
"X46",0,0.10033684722628,0.370495695100512,0.203278959089266,0.12331607981267,0.128144379627112,0.0558205207385722,0.012878363932635,0.00375668693123819,0.00104976443942099,0.000250007731454538,0.000346050171720582,0.000326645199118914,"2013","EBS"
"X47",2.65024987630282e-05,0.300084877290418,0.168039420112269,0.235762338743042,0.193453326250082,0.0497006431937187,0.0385794893104631,0.00997153111089126,0.00206894694355104,0.000874018844947765,0.000794109400195077,9.17379424833281e-05,0.000553058359175545,"2014","EBS"
"X48",1.84951446139559e-05,0.057596982069625,0.439035222527661,0.211984800667996,0.18586787396794,0.0745610962076664,0.0172060253116681,0.0104896960000121,0.00228822676821358,0.000431884297418648,0.000226932552945839,0.00010972712230365,0.000183037361935316,"2015","EBS"
"X49",2.62350253080365e-06,0.104465630625016,0.0942260887640014,0.364210212778295,0.22224162806795,0.146776166651687,0.0508212498372248,0.0114407885773123,0.00353250189666467,0.00137824499380102,0.000463043045406102,0.000301408476103639,0.000140412784008012,"2016","EBS"
"X50",5.70192729739475e-05,0.130220252324419,0.168621099871784,0.173059121254027,0.288484971907011,0.134441939416677,0.0763560589863312,0.0205632078504669,0.00324284970672792,0.00309110157299744,0.000596737630071681,0.000600410801678026,0.000665229404835409,"2017","EBS"
"X51",3.61718155513138e-05,0.0935520278107656,0.117479976118693,0.272395853765079,0.160529339841271,0.236453468089733,0.0788101860808908,0.0335006884171392,0.00334787019212371,0.00232680816915493,0.000709981460797291,0.000324675941411549,0.000532952297390266,"2018","EBS"
